customer_id,sum_Profit,Min_Recency,count_product_id,R_score,F_score,M_score,RFM_Score,Customer Title
1,3018.0899999999997,7 days 00:00:00.000000000,11,4,4,3,443,Platinum
2,2226.26,128 days 00:00:00.000000000,3,1,1,2,112,Bronze
3,3290.21,102 days 00:00:00.000000000,7,1,3,3,133,Bronze
5,2394.94,16 days 00:00:00.000000000,6,4,3,2,432,Platinum
8,5364.389999999999,22 days 00:00:00.000000000,9,3,4,4,344,Gold
9,2353.11,78 days 00:00:00.000000000,6,2,3,2,232,Silver
10,3358.2799999999997,43 days 00:00:00.000000000,5,3,2,3,323,Gold
12,3540.03,67 days 00:00:00.000000000,7,2,3,3,233,Silver
13,4337.38,27 days 00:00:00.000000000,7,3,3,4,334,Gold
14,1713.9,47 days 00:00:00.000000000,3,2,1,0,210,Bronze
15,1728.39,35 days 00:00:00.000000000,6,3,3,0,330,Gold
16,4521.84,99 days 00:00:00.000000000,5,1,2,4,124,Bronze
17,2015.6099999999997,0 days 00:00:00.000000000,5,4,2,2,422,Platinum
18,3543.38,134 days 00:00:00.000000000,7,1,3,3,133,Bronze
19,1736.45,280 days 00:00:00.000000000,2,1,1,0,110,Bronze
20,3608.2799999999997,31 days 00:00:00.000000000,4,3,1,3,313,Gold
21,4229.410000000001,6 days 00:00:00.000000000,5,4,2,4,424,Platinum
24,3689.3500000000004,17 days 00:00:00.000000000,7,4,3,3,433,Platinum
25,5333.66,5 days 00:00:00.000000000,12,4,4,4,444,Platinum
26,268.2399999999999,259 days 00:00:00.000000000,2,1,1,0,110,Bronze
27,3274.2500000000005,143 days 00:00:00.000000000,7,1,3,3,133,Bronze
28,3366.5600000000004,83 days 00:00:00.000000000,6,2,3,3,233,Silver
29,6175.300000000001,22 days 00:00:00.000000000,9,3,4,4,344,Gold
31,426.10999999999996,89 days 00:00:00.000000000,4,1,1,0,110,Bronze
32,2823.1200000000003,138 days 00:00:00.000000000,7,1,3,3,133,Bronze
33,5294.2699999999995,38 days 00:00:00.000000000,7,3,3,4,334,Gold
35,3706.5099999999998,92 days 00:00:00.000000000,4,1,1,3,113,Bronze
36,204.35999999999999,163 days 00:00:00.000000000,2,1,1,0,110,Bronze
